wavenumber,col,mean_cancer,mean_control,sd_cancer,sd_control,p_value,p_adj,log2_fc,abs_diff,neg_log10p,cancer,display
982.72,x_982.72,1.131702794813747,0.8720496958771773,0.5994055847409958,0.6642269519726415,0.002425134997932576,0.008012371812957452,0.3760124931337937,0.25965309893656974,2.0962389055380943,OVA,Ovarian (OVC)
984.64,x_984.64,1.567606269402935,1.279138261424903,0.6876478915066023,0.7624485315722579,0.0036696319386640905,0.011513778062586995,0.29339082751173867,0.28846800797803196,1.9387821461786745,OVA,Ovarian (OVC)
986.57,x_986.57,2.0606904037535965,1.747110953207141,0.7787768448075955,0.8666681850546938,0.0055327829577365584,0.016422704969789467,0.2381564143843602,0.31357945054645553,1.784555309049608,OVA,Ovarian (OVC)
988.49,x_988.49,2.5898013163743974,2.2625733597148083,0.8773715691498825,0.975204152084496,0.01094630494127686,0.029410330804867428,0.19487677168511972,0.32722795665958904,1.5315000905585365,OVA,Ovarian (OVC)
990.41,x_990.41,3.140822784066212,2.801610281670736,0.9813042507125291,1.0809162608561733,0.01748504130331111,0.04235366222434168,0.16488620443455568,0.3392125023954762,1.3731090312586969,OVA,Ovarian (OVC)
992.33,x_992.33,3.695600623144355,3.3427031373532983,1.0823748200020353,1.1771250806208415,0.02522481071540494,0.05823505683679906,0.14479357841381102,0.35289748579105673,1.234815496325713,OVA,Ovarian (OVC)
994.26,x_994.26,4.230442399875586,3.8536776928464804,1.1785360728810912,1.2604865954073534,0.029267678745554013,0.06515542768355477,0.13457259311619268,0.3767647070291056,1.186049400138159,OVA,Ovarian (OVC)
996.18,x_996.18,4.692701420673384,4.293326766879106,1.2632935659546765,1.3223991969166766,0.026881970421194945,0.06085869816904908,0.1283226602285668,0.3993746537942773,1.215677341889868,OVA,Ovarian (OVC)
998.1,x_998.10,5.008422441463352,4.6260136718373746,1.3237662410032025,1.3612528363942247,0.036871779050094214,0.0783525304814502,0.11458669969552635,0.38240876962597703,1.105946972949266,OVA,Ovarian (OVC)
1000.03,x_1000.03,5.146480730763279,4.817357219049319,1.3518821254817759,1.3767756390745878,0.07139472055703268,0.1329762225514453,0.09534429847077579,0.32912351171396015,0.8762260081898914,OVA,Ovarian (OVC)
1001.95,x_1001.95,5.106144553364096,4.844780950794529,1.3430863052990434,1.3630794376283808,0.13292379149743616,0.21690007862147087,0.07580292741721571,0.2613636025695669,0.6637402905636547,OVA,Ovarian (OVC)
1003.87,x_1003.87,4.881715283689719,4.712483327523256,1.2952395963434857,1.318238994048216,0.3394591768579477,0.4439081543527008,0.050900630424268234,0.16923195616646236,0.3527068771466213,OVA,Ovarian (OVC)
1005.79,x_1005.79,4.490493044165009,4.437046079061773,1.2221706643102446,1.2486176347835793,0.7526734803376227,0.8098385547936446,0.017274318128729007,0.05344696510323654,0.09160155118387225,OVA,Ovarian (OVC)
1007.72,x_1007.72,3.986406854754097,4.045133162636202,1.137801265679737,1.1602964670198388,0.7809788544819857,0.8335790284710692,-0.02109823068464709,-0.0587263078821052,0.07905322006885485,OVA,Ovarian (OVC)
1009.64,x_1009.64,3.432162817991977,3.5747191551612274,1.038986130564643,1.0547974616969795,0.4311809190827325,0.5353972899632867,-0.05871189113243042,-0.1425563371692502,0.27132383142508365,OVA,Ovarian (OVC)
1011.56,x_1011.56,2.9005909515602246,3.0740866685705774,0.9457604317390692,0.944902737358266,0.3559525388323603,0.46160280694626477,-0.08381095433651434,-0.17349571701035282,0.33573155895638185,OVA,Ovarian (OVC)
1013.49,x_1013.49,2.4200540090259692,2.575310327853759,0.8642902958117233,0.832846616909149,0.382968837578866,0.4898438620194798,-0.08970700835185869,-0.15525631882778956,0.30994232950091816,OVA,Ovarian (OVC)
1015.41,x_1015.41,1.9944393399404805,2.103867293418326,0.7952146019777285,0.7250975025244506,0.6097960813174053,0.6961652454600413,-0.07706042324282382,-0.10942795347784529,0.1572876617206174,OVA,Ovarian (OVC)
1017.33,x_1017.33,1.6337825043977618,1.685480433671629,0.744818171127254,0.6304999145663499,0.930084743808287,0.9514181856594789,-0.044943913457489784,-0.05169792927386707,0.021628551616895524,OVA,Ovarian (OVC)
1019.25,x_1019.25,1.3515125339704677,1.3355600767835143,0.7199081380749432,0.5583621879278361,0.5951608118827187,0.6844715364210849,0.017130005373491963,0.015952457186953373,0.16464460718270266,OVA,Ovarian (OVC)
1021.18,x_1021.18,1.135784414871818,1.0580743737112925,0.7222386885562329,0.5123541968380388,0.3762663062673211,0.48259121585726367,0.10224788687416134,0.07771004116052538,0.3164205873991309,OVA,Ovarian (OVC)
1023.1,x_1023.10,0.9734601953614134,0.8465274496440224,0.7469130512825098,0.4935474826674968,0.38634736294892735,0.4934901425645452,0.20156491639337612,0.126932745717391,0.3067215179134531,OVA,Ovarian (OVC)
1025.02,x_1025.02,0.8495851754754831,0.6903039227119534,0.7863846223589664,0.4989640387371439,0.4524506378024773,0.5582830771055876,0.2995265182138608,0.15928125276352967,0.25314553645379906,OVA,Ovarian (OVC)
1026.95,x_1026.95,0.7529262076968687,0.5707003855115672,0.8328944044915112,0.5195582911958075,0.5522475990042769,0.6472145217930316,0.39977432772304067,0.18222582218530148,0.18895174685958638,OVA,Ovarian (OVC)
1028.87,x_1028.87,0.6686673941804424,0.4656514992140677,0.8809317704844621,0.5313888338473194,0.6307250608490129,0.7130930252646035,0.5220372056819476,0.20301589496637473,0.1468538113489727,OVA,Ovarian (OVC)
1030.79,x_1030.79,0.5839456586975531,0.3620180665743376,0.901087983689716,0.5205298252898257,0.656413824047744,0.7359075845139575,0.6897709082365118,0.2219275921232155,0.13317672106418757,OVA,Ovarian (OVC)
1032.72,x_1032.72,0.4852740390578057,0.2611921347354755,0.8873875149122679,0.4904066368850665,0.6324829033356949,0.7142168050952593,0.8936856773198478,0.22408190432233022,0.14616993533299424,OVA,Ovarian (OVC)
1034.64,x_1034.64,0.3773362794309491,0.16626061498420167,0.8364642747472424,0.4522346069503633,0.6167381470011832,0.7006684902139809,1.1823995093970572,0.21107566444674744,0.15448741273889643,OVA,Ovarian (OVC)
1036.56,x_1036.56,0.2820183594518076,0.0761669341539549,0.7598986329832259,0.41184880513753985,0.45319449788571226,0.5582830771055876,1.888538528807068,0.2058514252978527,0.25314553645379906,OVA,Ovarian (OVC)
1038.48,x_1038.48,0.2104584372802384,-0.001389763279111534,0.6916884742127009,0.38074706827306243,0.23452189865389875,0.3352874239165066,NA,0.21184820055934991,0.47458273594217315,OVA,Ovarian (OVC)
1040.41,x_1040.41,0.1397102071214589,-0.06126399343180048,0.6280537130338755,0.36777957355940805,0.13646677941575355,0.22037381477328077,NA,0.20097420055325937,0.656840010433101,OVA,Ovarian (OVC)
1042.33,x_1042.33,0.07018789091325699,-0.11114726907107575,0.5724390027662558,0.3647719212311618,0.08767237113872323,0.15614031812324994,NA,0.18133515998433275,0.8064849401306031,OVA,Ovarian (OVC)
1044.25,x_1044.25,0.011102653325891276,-0.15504833171244223,0.5323799192056494,0.3636859262660455,0.0664926422128973,0.12509179168824744,NA,0.1661509850383335,0.9027711870408421,OVA,Ovarian (OVC)
1046.18,x_1046.18,-0.05501901858818265,-0.19787670169868357,0.5085719292419114,0.3584726348772305,0.09699260729466723,0.16919419369498853,-1.846618377728,0.14285768311050093,0.771614544899208,OVA,Ovarian (OVC)
1048.1,x_1048.10,-0.14244035533536945,-0.25211424821433365,0.4873750546289764,0.348799565802739,0.19190935906116793,0.28818754760878723,-0.8237241205335795,0.1096738928789642,0.540324788690755,OVA,Ovarian (OVC)
1050.02,x_1050.02,-0.2497585279532516,-0.31383545112211486,0.45138598505016075,0.33279604751478886,0.40420720288932194,0.5066135853907722,-0.32947556958436863,0.06407692316886326,0.2953231683134576,OVA,Ovarian (OVC)
1051.94,x_1051.94,-0.35453439887823285,-0.36422107543934024,0.42380367957977405,0.3197592496428467,0.9684566857940288,0.9789264878026127,-0.038888901191717284,0.009686676561107388,0.009249920189081265,OVA,Ovarian (OVC)
1053.87,x_1053.87,-0.4301356223902508,-0.4065562624648268,0.4123593280952609,0.3160924350601264,0.6351235624516757,0.7163335716433253,0.08133679228057294,-0.023579359925424037,0.14488469474702234,OVA,Ovarian (OVC)
1055.79,x_1055.79,-0.4846529215518424,-0.450606812964795,0.3894669779508986,0.3121955988344605,0.49047832555647974,0.5909758175197275,0.10508304640564002,-0.03404610858704743,0.22843028990150835,OVA,Ovarian (OVC)
1057.71,x_1057.71,-0.5231723271138747,-0.48095708385183916,0.3646098403925421,0.3120553420118492,0.3514630770198941,0.4564138569633347,0.12137830739239185,-0.04221524326203557,0.3406411786461183,OVA,Ovarian (OVC)
1059.64,x_1059.64,-0.5545125762622439,-0.49282590180265085,0.3407213234784373,0.3104322556818077,0.18526287433009803,0.28120257710818447,0.17014242374530658,-0.06168667445959308,0.5509807035002394,OVA,Ovarian (OVC)
1061.56,x_1061.56,-0.5646684133117525,-0.4943885332816682,0.32926934907692645,0.3077109829866599,0.12976507706103418,0.21248747294582654,0.19175901248007246,-0.07027988003008434,0.6726666683942217,OVA,Ovarian (OVC)
1063.48,x_1063.48,-0.5513286049678371,-0.4860279220889179,0.334395827140102,0.3020259979795493,0.13549335929054157,0.21956029625070428,0.18187360890183393,-0.06530068287891921,0.6584461919004457,OVA,Ovarian (OVC)
1065.4,x_1065.40,-0.5364993812077387,-0.47155385061253485,0.335087723098709,0.28833195819598234,0.06985579716557304,0.13089212494952063,0.18615434383419951,-0.0649455305952038,0.8830864817445059,OVA,Ovarian (OVC)
1067.33,x_1067.33,-0.5329629213537938,-0.4547744143235786,0.3126231581047413,0.269497865327545,0.029728917377650908,0.06586857286280474,0.22888454218012336,-0.07818850703021513,1.1813217460699965,OVA,Ovarian (OVC)
1069.25,x_1069.25,-0.5248913171089779,-0.4449402992495227,0.29120149566455505,0.2547740838341124,0.023504770444803542,0.054805387446113,0.23840745360559967,-0.07995101785945513,1.2611767476631692,OVA,Ovarian (OVC)
1071.17,x_1071.17,-0.5135745137537484,-0.4419488973132877,0.2712388263944294,0.2362702069315271,0.04986333319775311,0.10069593205161803,0.21669450546255914,-0.07162561644046073,0.9969880738676342,OVA,Ovarian (OVC)
1073.1,x_1073.10,-0.5076548035445484,-0.43900599018858427,0.2577927277999128,0.2187217068057157,0.053730237949231534,0.10554153882884765,0.20960764187715147,-0.06864881335596412,0.9765765779625235,OVA,Ovarian (OVC)
1075.02,x_1075.02,-0.510165742306859,-0.43962819770439987,0.2561753339514477,0.20692423929048656,0.043081190616317384,0.08833533602249288,0.2146825552161492,-0.07053754460245909,1.0538655345904973,OVA,Ovarian (OVC)
1076.94,x_1076.94,-0.5266770385342878,-0.4449468435677484,0.26238434650333764,0.20713978543033973,0.028542504699759223,0.06399818200065917,0.24328607501692864,-0.08173019496653944,1.193832362864489,OVA,Ovarian (OVC)
1078.87,x_1078.87,-0.5531624359155958,-0.44543558654094384,0.27032602013406626,0.2150090667458803,0.004275945250116167,0.013108225602815136,0.31248699834185817,-0.10772684937465193,1.8824560926776255,OVA,Ovarian (OVC)
1080.79,x_1080.79,-0.5750202000846337,-0.44334232856790995,0.2755251669647132,0.22579757781304008,8.150119278596872e-4,0.0029309082790338753,0.3751922711891271,-0.13167787151672378,2.532997772326745,OVA,Ovarian (OVC)
1082.71,x_1082.71,-0.5944045075867972,-0.4399092918790084,0.2827625368101578,0.24032095461513478,1.9855975441151032e-4,8.32526324550503e-4,0.434239834254152,-0.1544952157077888,3.0796020251774743,OVA,Ovarian (OVC)
1084.63,x_1084.63,-0.6126430751631048,-0.4367565261753235,0.2853303131187518,0.24875814769394522,2.76917817904364e-5,1.3346296893844347e-4,0.4882184946843036,-0.17588654898778128,3.8746392183190443,OVA,Ovarian (OVC)
1086.56,x_1086.56,-0.6245995625835452,-0.44046600504667305,0.2833605823393922,0.25186814261829427,9.255673178508265e-6,5.1512228701816834e-5,0.5039018476746385,-0.18413355753687216,4.2880896597493585,OVA,Ovarian (OVC)
1088.48,x_1088.48,-0.6287653141074185,-0.4642467742289208,0.27736845718187636,0.253587592491583,3.1376299928901206e-5,1.489179717437697e-4,0.4376305607350973,-0.16451853987849774,3.8270528874851206,OVA,Ovarian (OVC)
1090.4,x_1090.40,-0.6428317782104592,-0.5055309521541704,0.26243511669317826,0.24667480248058302,1.1723777650580471e-4,5.122304721164832e-4,0.34664243279429746,-0.1373008260562888,3.290534589322495,OVA,Ovarian (OVC)
1092.33,x_1092.33,-0.6500910227475507,-0.545478678047653,0.2501364078993852,0.23457311221563984,9.730142096541211e-4,0.0034857022453126563,0.2531193525540991,-0.10461234469989766,2.4577097138240163,OVA,Ovarian (OVC)
1094.25,x_1094.25,-0.6521010191115345,-0.5938332879977618,0.23123507424410045,0.2259870381033341,0.033340341776723584,0.07182769484155888,0.13503772398395406,-0.0582677311137727,1.1437080711088854,OVA,Ovarian (OVC)
1096.17,x_1096.17,-0.6729940137459995,-0.6495880294278028,0.21713294789499465,0.2160776410323996,0.2464019492833054,0.3438594366864038,0.05106870255784941,-0.023405984318196738,0.463619052623118,OVA,Ovarian (OVC)
1098.09,x_1098.09,-0.7120788326378388,-0.6966340828162404,0.2098394263908902,0.20232281974638278,0.30446385002227794,0.4049412514521051,0.03163595396496917,-0.01544474982159838,0.3926079793059948,OVA,Ovarian (OVC)
1100.02,x_1100.02,-0.7362666932993209,-0.7354503678612535,0.20529800277886007,0.19100592888044451,0.6421879742744621,0.7225580697311937,0.0016004576063831874,-8.163254380674223e-4,0.14112724428021006,OVA,Ovarian (OVC)
1101.94,x_1101.94,-0.7624309354232268,-0.7675223287776847,0.20561050163923367,0.18299576227207723,0.7311934789390246,0.7921968746326628,-0.009602077178073144,0.005091393354457852,0.10116687530267508,OVA,Ovarian (OVC)
1103.86,x_1103.86,-0.7763519377354229,-0.7839674919443295,0.22122734458396145,0.17850342203243785,0.6644713824531551,0.7405014810413587,-0.014083044034926611,0.007615554208906583,0.13047406853042115,OVA,Ovarian (OVC)
1105.79,x_1105.79,-0.783470551126759,-0.7942949079553037,0.24173645774161148,0.17355929233279452,0.47430076938579463,0.5751896489957431,-0.01979573153359636,0.010824356828544657,0.24018893803629993,OVA,Ovarian (OVC)
1107.71,x_1107.71,-0.7840231581221919,-0.8028148672355195,0.2528626079476782,0.168081116301006,0.48582611247269303,0.5861256969831845,-0.034171108477610075,0.018791709113327615,0.23200923781757102,OVA,Ovarian (OVC)
1109.63,x_1109.63,-0.7661129168484737,-0.809437948173573,0.2556304810605047,0.16320062818886072,0.9418783547958677,0.9612333772850248,-0.07936354236337465,0.04332503132509924,0.017171157428024574,OVA,Ovarian (OVC)
1111.55,x_1111.55,-0.7189842499196774,-0.8063001396529225,0.2524411922586617,0.16114973344907824,0.05311951832239466,0.10522616447338771,-0.16535702197281482,0.08731588973324511,0.9778762594828307,OVA,Ovarian (OVC)
1113.48,x_1113.48,-0.6952473572431453,-0.8026145246707126,0.25749681096919613,0.155189012341592,0.007829553334652654,0.02238725494770713,-0.2071811863087228,0.10736716742756724,1.6499991549314563,OVA,Ovarian (OVC)
1115.4,x_1115.40,-0.6671665348194964,-0.7951713515499852,0.26415256875636617,0.15671706721504092,6.71932110332594e-4,0.0025130260926439015,-0.25321920370890727,0.1280048167304888,2.5998030021227305,OVA,Ovarian (OVC)
