cancer,wavenumber,shap,abs_shap
PRC,473.22,-0.009415432907599377,0.009415432907599377
PRC,475.15,-0.016016217036393103,0.016016217036393103
PRC,477.08,-0.026242135907166453,0.026242135907166453
PRC,479.01,-0.014097505048974184,0.014097505048974184
PRC,480.93,0.02708343925347928,0.02708343925347928
PRC,482.86,0.01638657965800205,0.01638657965800205
PRC,484.79,0.003036814197087901,0.003036814197087901
PRC,486.72,0.0008865771126813122,0.0008865771126813122
PRC,488.65,-0.020438021339204582,0.020438021339204582
PRC,490.57,0.0016269833160580554,0.0016269833160580554
PRC,492.5,-0.00391531829624048,0.00391531829624048
PRC,494.43,-0.003542630932768621,0.003542630932768621
PRC,496.36,0.01831806047473707,0.01831806047473707
PRC,498.29,0.04194111971905386,0.04194111971905386
PRC,500.21,-0.01295411769143729,0.01295411769143729
PRC,502.14,-0.02891083931003318,0.02891083931003318
PRC,504.07,-0.0357111718938634,0.0357111718938634
PRC,506.0,-0.014322211032722909,0.014322211032722909
PRC,507.93,0.05397031038709431,0.05397031038709431
PRC,509.85,-0.002647851401105411,0.002647851401105411
PRC,511.78,0.03545337683092195,0.03545337683092195
PRC,513.71,0.01507666937143037,0.01507666937143037
PRC,515.64,-0.0064378088796393056,0.0064378088796393056
PRC,517.57,-0.013831833808604617,0.013831833808604617
PRC,519.49,0.0038531467872943664,0.0038531467872943664
PRC,521.42,0.021177048125167457,0.021177048125167457
PRC,523.35,0.009774182976331099,0.009774182976331099
PRC,525.28,-0.00895073032282962,0.00895073032282962
PRC,527.2,0.0028760101755179093,0.0028760101755179093
PRC,529.13,0.0016250149085527115,0.0016250149085527115
PRC,531.06,-0.003767952425649406,0.003767952425649406
PRC,532.99,-0.001089791866832144,0.001089791866832144
PRC,534.92,-0.000535263591832499,0.000535263591832499
PRC,536.84,-0.006050631620104462,0.006050631620104462
PRC,538.77,-0.0009362856800902325,0.0009362856800902325
PRC,540.7,0.0010919212535324195,0.0010919212535324195
PRC,542.63,-0.001248381956662049,0.001248381956662049
PRC,544.56,-0.0032817338254559846,0.0032817338254559846
PRC,546.48,-0.003888701852954103,0.003888701852954103
PRC,548.41,0.0016533992133834937,0.0016533992133834937
PRC,550.34,-0.0013294253212574718,0.0013294253212574718
PRC,552.27,-0.006481624634655836,0.006481624634655836
PRC,554.2,0.004337068910710525,0.004337068910710525
PRC,556.12,0.027517027298251465,0.027517027298251465
PRC,558.05,-0.005175860787823863,0.005175860787823863
PRC,559.98,-0.03784209467199464,0.03784209467199464
PRC,561.91,0.006251658036311533,0.006251658036311533
PRC,563.83,0.0176914946382677,0.0176914946382677
PRC,565.76,0.024007683048858846,0.024007683048858846
PRC,567.69,-0.01818141716859715,0.01818141716859715
PRC,569.62,-0.03047260011253282,0.03047260011253282
PRC,571.55,-0.019879676713509178,0.019879676713509178
PRC,573.47,0.025506324774821867,0.025506324774821867
PRC,575.4,0.04385929084693621,0.04385929084693621
PRC,577.33,-0.0040126786752362415,0.0040126786752362415
PRC,579.26,-0.03201605131541497,0.03201605131541497
PRC,581.19,0.02677886915405929,0.02677886915405929
PRC,583.11,0.016195394138905812,0.016195394138905812
PRC,585.04,-0.0001738872929155291,0.0001738872929155291
PRC,586.97,-0.01931724001724996,0.01931724001724996
PRC,588.9,0.0008812438022750065,0.0008812438022750065
PRC,590.83,0.03592985643789069,0.03592985643789069
PRC,592.75,0.0047576044259157735,0.0047576044259157735
PRC,594.68,-0.026286185425008907,0.026286185425008907
PRC,596.61,-0.007982599963969609,0.007982599963969609
PRC,598.54,-0.05972431535275216,0.05972431535275216
PRC,600.46,0.04218556834094181,0.04218556834094181
PRC,602.39,0.0904783721903288,0.0904783721903288
PRC,604.32,-0.08702826433606355,0.08702826433606355
PRC,606.25,-0.08238620695737738,0.08238620695737738
PRC,608.18,0.06293740076781178,0.06293740076781178
PRC,610.1,0.15252275215007638,0.15252275215007638
PRC,612.03,-0.04783924222655666,0.04783924222655666
PRC,613.96,-0.16078829475638087,0.16078829475638087
PRC,615.89,-0.03673667439315486,0.03673667439315486
