cancer,display,wavenumber,mean_cancer,mean_control,log2_fc,abs_diff,p_value,p_adj,neg_log10p
CRC,Colorectal (CRC),719.28,0.7700283984094943,2.4071650836628287,-1.6443502531248853,-1.6371366852533344,1.9325167450723938e-55,3.1153502700736e-54,53.50649311696369
LUN,Lung (LC),1592.28,0.2307454984619876,1.026816633205489,-2.1537993156684676,-0.7960711347435014,5.439857675319168e-61,4.345639179287694e-58,57.36194633621837
LUN,Lung (LC),1594.21,0.2668762438231236,1.0885708605997841,-2.028188448592374,-0.8216946167766606,1.288524639149923e-60,4.345639179287694e-58,57.36194633621837
LUN,Lung (LC),1596.13,0.2845069950584882,1.1241345659797144,-1.9822749290601507,-0.8396275709212262,1.3943227313222546e-60,4.345639179287694e-58,57.36194633621837
LUN,Lung (LC),1590.36,0.20185465880151277,0.9612316450386477,-2.2515616138368193,-0.7593769862371349,1.5035996650648481e-59,3.514664217089083e-57,56.45411616015516
LUN,Lung (LC),1598.05,0.2990174125214407,1.126956332601078,-1.9141266666422563,-0.8279389200796374,1.4085491541818687e-58,2.6339869183200944e-56,55.57938638628976
LUN,Lung (LC),1588.44,0.17593511924359764,0.9029938277479307,-2.3596660292492966,-0.7270587085043331,6.61298463231904e-58,1.0305234385363839e-55,54.98694212604755
LUN,Lung (LC),1599.97,0.2989768173779486,1.0920878413025599,-1.8689798711813688,-0.7931110239246113,9.457696305805642e-56,1.2632780065611823e-53,52.89850106478168
LUN,Lung (LC),1586.51,0.15711538989536003,0.8497746454746048,-2.435248310717113,-0.6926592555792448,3.1401179396763485e-55,3.6700128419967323e-53,52.435332416075276
LUN,Lung (LC),1603.82,0.1926164994183272,0.9306041588083486,-2.2724304058275178,-0.7379876593900214,9.423175509070785e-55,9.789632334423538e-53,52.009233618526736
LUN,Lung (LC),1601.9,0.261255732730155,1.024041084258056,-1.9707348840355352,-0.7627853515279011,1.8350933520143732e-54,1.7158122841334388e-52,51.76553022722412
LUN,Lung (LC),1605.74,0.1163434811227463,0.8077358606458832,-2.7954826003675373,-0.6913923795231369,1.296254508854689e-53,1.1018163325264857e-51,50.95789079424845
LUN,Lung (LC),1607.67,0.0440720498851719,0.671957015797304,-3.930402454997673,-0.6278849659121322,2.2094067716371115e-51,1.4755680939147854e-49,48.831040744056885
LUN,Lung (LC),1584.59,0.14465229107875915,0.789085473713283,-2.447584262584155,-0.6444331826345238,7.215336218439471e-51,4.216462102650566e-49,48.37505179873631
LUN,Lung (LC),976.95,1.0481041139298464,0.0018920359293868052,9.112865902624828,1.0462120780004596,6.678644035459217e-50,3.673254219502569e-48,47.43494901385276
LUN,Lung (LC),978.87,1.420884617073854,0.2373445736518021,2.581729370884876,1.183540043422052,8.546625222410337e-50,4.4394969905298134e-48,47.3526662340774
LUN,Lung (LC),980.8,1.849917721520394,0.5279492482040681,1.8089879979034185,1.3219684733163257,2.7742014287107576e-49,1.296939167922279e-47,46.88708039373493
LUN,Lung (LC),982.72,2.328361233011354,0.8720496958771773,1.416831609462069,1.4563115371341766,6.702866072906514e-49,2.848718080985268e-47,46.54535052792114
LUN,Lung (LC),1717.27,0.035865824910818835,0.77817098599439,-4.439367102222045,-0.7423051610835713,1.3839164624922213e-48,5.625921271435769e-47,46.249806349600654
LUN,Lung (LC),1719.19,0.031534346171343736,0.787999808740419,-4.643155435116989,-0.7564654625690752,8.52224625083262e-48,2.8822000015908416e-46,45.54027588591845
LUN,Lung (LC),1721.12,0.005080552187387555,0.7781132289541243,-7.258568908217561,-0.7730326767667367,8.631187170539418e-48,2.8822000015908416e-46,45.54027588591845
LUN,Lung (LC),984.64,2.841794390158152,1.279138261424903,1.1516293432768252,1.5626561287332492,3.9415504485575483e-47,1.270810230828037e-45,44.8959192974849
LUN,Lung (LC),1715.35,0.05204954461594675,0.751469174285154,-3.8517306810314396,-0.6994196296692072,5.97350500281177e-47,1.861742392543002e-45,44.7300804120963
LUN,Lung (LC),1582.67,0.1323852234732636,0.7247287198011801,-2.45269005916957,-0.5923434963279166,5.343116207254908e-46,1.6115527915430123e-44,43.79275546322003
LUN,Lung (LC),986.57,3.37462428603821,1.747110953207141,0.9497552584042389,1.627513332831069,2.6828760417282316e-44,6.968025275044157e-43,42.15689028268577
LUN,Lung (LC),1474.99,0.16185653521363697,0.6473035388410802,-1.9997200887481186,-0.4854470036274432,3.596031630719366e-44,9.087269120871911e-43,42.041566610059185
LUN,Lung (LC),1473.06,0.2781035593920219,0.7912779932619858,-1.508559060136026,-0.5131744338699639,5.644029573698747e-44,1.3887283293179811e-42,41.85738270503113
LUN,Lung (LC),1713.43,0.0816097728259808,0.7236924528889087,-3.148547210660154,-0.6420826800629279,6.297094394081196e-44,1.509688014991261e-42,41.821112792684964
LUN,Lung (LC),1580.75,0.1042146391070721,0.6557760693376369,-2.6536336639468,-0.5515614302305648,9.883649353316962e-43,2.2539541817930147e-41,40.647054916504956
LUN,Lung (LC),723.13,1.2698025434907547,2.821626979685612,-1.1519224779268873,-1.5518244361948572,1.6688646498819678e-41,3.71521058961819e-40,39.43001656405226
LUN,Lung (LC),1476.91,0.0838994371308488,0.5268639460578941,-2.650682963571826,-0.4429645089270453,1.9342610525548806e-41,4.205893218927473e-40,39.376141757569634
OVA,Ovarian (OVC),1140.4,-0.027078576870409096,-0.41071598955359634,-3.922967055923859,0.38363741268318724,1.2355777480646614e-14,1.1552651944404584e-11,10.937318310783072
OVA,Ovarian (OVC),1138.48,-0.13834945563061973,-0.4833416733158601,-1.8047338638697967,0.34499221768524035,9.310424649383793e-14,2.378604174451017e-11,10.623677823265105
OVA,Ovarian (OVC),1649.97,1.5263882288512234,0.7578888185404973,1.0100628651226233,0.7684994103107261,1.0813725716643687e-13,2.378604174451017e-11,10.623677823265105
OVA,Ovarian (OVC),1651.89,1.5157434328904886,0.7719502526826522,0.9734448717238844,0.7437931802078365,1.5263770103428985e-13,2.378604174451017e-11,10.623677823265105
OVA,Ovarian (OVC),1653.82,1.4941298853639398,0.7863202688087032,0.9261157505033296,0.7078096165552366,1.4982817328550593e-13,2.378604174451017e-11,10.623677823265105
OVA,Ovarian (OVC),1648.05,1.5151701220635378,0.7274103501327831,1.0586373974660752,0.7877597719307547,2.609208022884441e-13,3.0495118767461905e-11,10.515769670883001
OVA,Ovarian (OVC),1655.74,1.4720714463146343,0.8016068607337826,0.8768801125988188,0.6704645855808516,3.4049410587148873e-13,3.394241424364029e-11,10.469257270580462
OVA,Ovarian (OVC),1657.66,1.4380851870897655,0.7940256875278561,0.8568907388703083,0.6440594995619094,3.6302047319401383e-13,3.394241424364029e-11,10.469257270580462
OVA,Ovarian (OVC),1659.58,1.3924136694682838,0.7828366436919492,0.8308038819641682,0.6095770257763347,4.560715112483882e-13,3.8766078456113e-11,10.4115481296353
OVA,Ovarian (OVC),1661.51,1.3500711220261903,0.7725139666845751,0.8054016902217175,0.5775571553416152,5.724366049559091e-13,4.4602352136147926e-11,10.350642237861535
OVA,Ovarian (OVC),1663.43,1.3050832109351185,0.7611644862596483,0.777860848430908,0.5439187246754702,9.23873741249002e-13,6.644784215906283e-11,10.177519117860875
OVA,Ovarian (OVC),1667.28,1.251140813105484,0.741481298079169,0.7547611681061028,0.509659515026315,1.0107203422389211e-12,6.750167999952795e-11,10.170685418199419
OVA,Ovarian (OVC),1665.35,1.275842308243284,0.7569454759181159,0.7531879612447747,0.518896832325168,1.5944520340339467e-12,9.938751012144935e-11,10.002668189306418
OVA,Ovarian (OVC),1669.2,1.2183757809953812,0.7302182113208623,0.7385588230725643,0.48815756967451895,2.026463553106243e-12,1.1842146388464608e-10,9.926569574624612
OVA,Ovarian (OVC),1646.12,1.4783218386190238,0.6803735730403858,1.1195602313313298,0.797948265578638,2.3762563251147646e-12,1.2787080688546583e-10,9.89322859434615
OVA,Ovarian (OVC),1644.2,1.4361979955366482,0.6208709862222807,1.2098879148212787,0.8153270093143675,8.942403779319212e-12,4.400603965086033e-10,9.356487714262999
OVA,Ovarian (OVC),1671.12,1.1934622502502572,0.739109620052834,0.6912919342072638,0.4543526301974232,1.4322296326463344e-11,6.695673532621614e-10,9.174205729811305
OVA,Ovarian (OVC),1642.28,1.3884129525318039,0.5526016418592928,1.329123403913735,0.835811310672511,3.5345673576553814e-11,1.5737240378132294e-9,8.80307142150836
OVA,Ovarian (OVC),1136.55,-0.23630201118076932,-0.5371722660925602,-1.1847563325013746,0.30087025491179087,4.318295536912158e-11,1.8352756031876672e-9,8.736298708547581
OVA,Ovarian (OVC),1673.04,1.181918736481554,0.7545728199814692,0.6473981145443058,0.4273459165000848,1.035097073813429e-10,4.03256568339815e-9,8.394418549988586
OVA,Ovarian (OVC),2134.54,-0.3897041904738861,-0.06700293670042173,2.5401010402136484,-0.32270125377346437,2.1287546174878995e-10,7.961542269404743e-9,8.099002794798404
OVA,Ovarian (OVC),1640.36,1.313548736943044,0.4713508185263844,1.4785946291901646,0.8421979184166597,2.580412576667914e-10,9.279560612248075e-9,8.032472587164087
OVA,Ovarian (OVC),2098.01,1.5195525204695661,3.2575507748051105,-1.1001406196722732,-1.7379982543355443,4.756273326761346e-10,1.588255557329235e-8,7.79907961638735
OVA,Ovarian (OVC),2101.85,1.5220256376897248,3.270281694028508,-1.103421744101054,-1.7482560563387834,5.480188746050665e-10,1.707992159185791e-8,7.767514127341487
OVA,Ovarian (OVC),2103.78,1.488156497683867,3.209812730650862,-1.1089623577135825,-1.7216562329669949,5.352483243564812e-10,1.707992159185791e-8,7.767514127341487
OVA,Ovarian (OVC),2099.93,1.532604749156328,3.284203028923259,-1.0995571336344236,-1.7515982797669312,5.744581768608192e-10,1.7326399850479548e-8,7.761291667378252
OVA,Ovarian (OVC),2096.09,1.4876262676338334,3.179065481210611,-1.0955900893414396,-1.6914392135767775,6.824791986851703e-10,1.9336910629413157e-8,7.713612909972309
OVA,Ovarian (OVC),2105.7,1.4405899438939718,3.1127212325810367,-1.1115161018695292,-1.672131288687065,7.792889978033401e-10,2.1430447439591853e-8,7.668968761365211
OVA,Ovarian (OVC),1674.97,1.1620815815647563,0.7616502881450419,0.6095100598698395,0.4004312934197144,8.293616014340782e-10,2.215580278116752e-8,7.654512509359976
OVA,Ovarian (OVC),453.92,0.04668244591426856,0.8696077896855535,-4.219383560797202,-0.822925343771285,8.894476876488702e-10,2.3100932998658156e-8,7.636370479502391
PRO,Prostate (PRC),1642.28,1.4346168517915165,0.5526016418592928,1.3763521238409053,0.8820152099322237,3.240457809954375e-20,1.3507545018274711e-17,16.86942357635914
PRO,Prostate (PRC),1644.2,1.4805129623803979,0.6208709862222807,1.2537303524994778,0.8596419761581172,4.333971663617554e-20,1.3507545018274711e-17,16.86942357635914
PRO,Prostate (PRC),1646.12,1.5083075796924712,0.6803735730403858,1.1485304841261519,0.8279340066520854,3.8090228244081855e-20,1.3507545018274711e-17,16.86942357635914
PRO,Prostate (PRC),1640.36,1.35431111467574,0.4713508185263844,1.5226840613447534,0.8829602961493557,6.53226600185163e-20,1.5269171779328183e-17,16.816184519028877
PRO,Prostate (PRC),1648.05,1.506908628513011,0.7274103501327831,1.0507495569681033,0.779498278380228,1.1712163195291159e-19,1.6673801682074807e-17,16.77796536829975
PRO,Prostate (PRC),1667.28,1.2687697959948308,0.741481298079169,0.7749473134751513,0.5272884979156618,1.2483060082836752e-19,1.6673801682074807e-17,16.77796536829975
PRO,Prostate (PRC),1669.2,1.2388161959614046,0.7302182113208623,0.7625617840278596,0.5085979846405423,1.2091541703336003e-19,1.6673801682074807e-17,16.77796536829975
PRO,Prostate (PRC),1665.35,1.2980797653246097,0.7569454759181159,0.7781169540060361,0.5411342894064938,1.7156551108234387e-19,2.005171910774894e-17,16.697848387781757
PRO,Prostate (PRC),1649.97,1.4817402536240922,0.7578888185404973,0.9672335108168495,0.723851435083595,5.013328760346196e-19,5.20829154547077e-17,16.28330471317925
PRO,Prostate (PRC),1663.43,1.3086268524657807,0.7611644862596483,0.7817728303718701,0.5474623662061324,9.506503462226974e-19,8.888580737182221e-17,16.05116757842426
PRO,Prostate (PRC),1661.51,1.3294074038392787,0.7725139666845751,0.7831495898804082,0.5568934371547036,1.7125328052257353e-18,1.455652884441875e-16,15.836942174709826
PRO,Prostate (PRC),1651.89,1.4434983399972645,0.7719502526826522,0.9029887960240913,0.6715480873146124,2.7592140325425265e-18,2.149887600356052e-16,15.667584245117494
PRO,Prostate (PRC),1638.43,1.226313525852971,0.39152374421344976,1.6471536564575542,0.8347897816395211,3.3161738286815154e-18,2.231741974830325e-16,15.6513560182403
PRO,Prostate (PRC),1659.58,1.3447260636437461,0.7828366436919492,0.7805283453130121,0.561889419951797,3.3416457377138554e-18,2.231741974830325e-16,15.6513560182403
PRO,Prostate (PRC),1671.12,1.2058946300133884,0.739109620052834,0.7062428390506806,0.4667850099605544,5.24145582248706e-18,3.2671741293502675e-16,15.485827718478133
PRO,Prostate (PRC),1653.82,1.398745184634188,0.7863202688087032,0.8309434132009643,0.6124249158254849,4.037797412367493e-17,2.3595878628522537e-15,14.62716384640264
PRO,Prostate (PRC),1636.51,1.0853498091417713,0.3142682997848896,1.788088177957474,0.7710815093568817,9.210902306333098e-17,5.065996268483204e-15,14.295335134438433
PRO,Prostate (PRC),1657.66,1.347596796371051,0.7940256875278561,0.7631305716350465,0.5535711088431948,1.2070670777205021e-16,6.270042875937052e-15,14.202729489357608
PRO,Prostate (PRC),1655.74,1.3642024530871562,0.8016068607337826,0.7670902584043214,0.5625955923533735,3.2326806713002993e-16,1.5908191724556734e-14,13.798379183563899
PRO,Prostate (PRC),1634.59,0.9654223060784135,0.23813263454358413,2.0193902504227212,0.7272896715348294,4.627558120012941e-16,2.1633834211060498e-14,13.66486650279226
PRO,Prostate (PRC),1632.66,0.8642184303424593,0.19014121758634484,2.1843187760837535,0.6740772127561144,1.1192024841625004e-14,4.983115822342561e-13,12.302499018424031
PRO,Prostate (PRC),1673.04,1.1472206728457908,0.7545728199814692,0.6044102325466697,0.3926478528643216,1.509596956439167e-14,6.41578706486646e-13,12.19275005839099
PRO,Prostate (PRC),1815.34,-0.8414922906506808,-0.7064770568159304,0.25230767288359457,-0.13501523383475034,2.0332422737234263e-14,8.265571851875668e-13,12.082727094479372
PRO,Prostate (PRC),1817.26,-0.8364194198256308,-0.7036650908232945,0.2493379419758564,-0.1327543290023363,4.114256486634154e-14,1.6028457562512226e-12,11.795108268308356
PRO,Prostate (PRC),1082.71,-0.6427581911549746,-0.4399092918790084,0.5470710509740221,-0.20284889927596617,1.241139918719376e-13,4.641863296010467e-12,11.333307653768625
PRO,Prostate (PRC),1630.74,0.7768647736072907,0.1616918067500348,2.264409853330907,0.6151729668572559,3.52871944292751e-13,1.2689817996681621e-11,10.896544606715674
PRO,Prostate (PRC),1080.79,-0.6310396931944645,-0.44334232856790995,0.5093106114378108,-0.18769736462655456,4.98830815645056e-13,1.7198057411241064e-11,10.76452060560547
PRO,Prostate (PRC),1084.63,-0.6471723198937958,-0.4367565261753235,0.5673217172000662,-0.21041579371847224,5.15022040122727e-13,1.7198057411241064e-11,10.76452060560547
PRO,Prostate (PRC),1813.42,-0.838481875788809,-0.7182835237775511,0.22322646457903422,-0.12019835201125784,3.0850773877622943e-12,9.94671502606119e-11,10.002320324441103
PRO,Prostate (PRC),1086.56,-0.6479196419794363,-0.44046600504667305,0.5567852662182624,-0.20745363693276325,4.462822187511951e-12,1.3909129151078913e-10,9.856700060282607
