dataset,dataset_label,sample_id,comparison,similarity
lot_balanced_thermo,Thermo,BLC 16,Random same-group primary,0.33612356715781166
lot_balanced_thermo,Thermo,BLC 16,Random same-group primary,0.6206754935956247
lot_balanced_thermo,Thermo,BLC 16,Random other-group primary,0.6571138109008113
lot_balanced_thermo,Thermo,BLC 16,Random other-group primary,0.21649295946888242
lot_balanced_thermo,Thermo,BLC 16,Random other-group primary,0.3186539743686991
lot_balanced_thermo,Thermo,BLC 16,Random other-group primary,0.41600053615427857
lot_balanced_thermo,Thermo,BLC 16,Random other-group primary,0.2949913967625627
lot_balanced_thermo,Thermo,BLC 17,True same sample,0.5016022008656671
lot_balanced_thermo,Thermo,BLC 17,Best wrong primary,0.917164824581803
lot_balanced_thermo,Thermo,BLC 17,Random same-group primary,0.7935125103361877
lot_balanced_thermo,Thermo,BLC 17,Random same-group primary,0.5873723301785722
lot_balanced_thermo,Thermo,BLC 17,Random same-group primary,-0.055150246712120585
lot_balanced_thermo,Thermo,BLC 17,Random same-group primary,0.6667960332356964
lot_balanced_thermo,Thermo,BLC 17,Random same-group primary,0.34337278178580516
lot_balanced_thermo,Thermo,BLC 17,Random other-group primary,0.8083183562444914
lot_balanced_thermo,Thermo,BLC 17,Random other-group primary,0.6705207911217119
lot_balanced_thermo,Thermo,BLC 17,Random other-group primary,0.5594818969767142
lot_balanced_thermo,Thermo,BLC 17,Random other-group primary,0.34340971395898584
lot_balanced_thermo,Thermo,BLC 17,Random other-group primary,0.25552444869620883
lot_balanced_thermo,Thermo,BLC 18,True same sample,0.6370945972214195
lot_balanced_thermo,Thermo,BLC 18,Best wrong primary,0.9052858053771713
lot_balanced_thermo,Thermo,BLC 18,Random same-group primary,0.022911200768549418
lot_balanced_thermo,Thermo,BLC 18,Random same-group primary,0.646010101315923
lot_balanced_thermo,Thermo,BLC 18,Random same-group primary,0.21073747432696416
lot_balanced_thermo,Thermo,BLC 18,Random same-group primary,0.7413386913552797
lot_balanced_thermo,Thermo,BLC 18,Random same-group primary,0.543185719477856
lot_balanced_thermo,Thermo,BLC 18,Random other-group primary,0.12810597796139467
lot_balanced_thermo,Thermo,BLC 18,Random other-group primary,0.19326553886204717
lot_balanced_thermo,Thermo,BLC 18,Random other-group primary,0.6122958926679741
lot_balanced_thermo,Thermo,BLC 18,Random other-group primary,0.632238936646476
lot_balanced_thermo,Thermo,BLC 18,Random other-group primary,0.3141994691015266
lot_balanced_thermo,Thermo,BLC 19,True same sample,0.2926552138194363
lot_balanced_thermo,Thermo,BLC 19,Best wrong primary,0.6284665470511418
lot_balanced_thermo,Thermo,BLC 19,Random same-group primary,0.5401145212636377
lot_balanced_thermo,Thermo,BLC 19,Random same-group primary,0.5133327034315145
lot_balanced_thermo,Thermo,BLC 19,Random same-group primary,0.6115726124132176
lot_balanced_thermo,Thermo,BLC 19,Random same-group primary,0.4995828753569629
lot_balanced_thermo,Thermo,BLC 19,Random same-group primary,0.3828434558639074
lot_balanced_thermo,Thermo,BLC 19,Random other-group primary,0.4573107993370574
lot_balanced_thermo,Thermo,BLC 19,Random other-group primary,0.5323390754225091
lot_balanced_thermo,Thermo,BLC 19,Random other-group primary,0.3239510585929004
lot_balanced_thermo,Thermo,BLC 19,Random other-group primary,0.5389001306168397
lot_balanced_thermo,Thermo,BLC 19,Random other-group primary,0.22589544490400745
lot_balanced_thermo,Thermo,BLC 20,True same sample,0.5033234062785468
lot_balanced_thermo,Thermo,BLC 20,Best wrong primary,0.8887076978077574
lot_balanced_thermo,Thermo,BLC 20,Random same-group primary,0.6925470167210034
lot_balanced_thermo,Thermo,BLC 20,Random same-group primary,0.6973842360331197
lot_balanced_thermo,Thermo,BLC 20,Random same-group primary,0.5278393415171743
lot_balanced_thermo,Thermo,BLC 20,Random same-group primary,-0.027175617229780374
lot_balanced_thermo,Thermo,BLC 20,Random same-group primary,0.7404991846238191
lot_balanced_thermo,Thermo,BLC 20,Random other-group primary,0.46662778555228535
lot_balanced_thermo,Thermo,BLC 20,Random other-group primary,0.40929526345624745
lot_balanced_thermo,Thermo,BLC 20,Random other-group primary,0.5748972769329596
lot_balanced_thermo,Thermo,BLC 20,Random other-group primary,0.36928680593200025
lot_balanced_thermo,Thermo,BLC 20,Random other-group primary,0.4344620609135494
lot_balanced_thermo,Thermo,BLC 21,True same sample,0.39406466045510324
lot_balanced_thermo,Thermo,BLC 21,Best wrong primary,0.7223589392186905
lot_balanced_thermo,Thermo,BLC 21,Random same-group primary,0.6188103409388465
lot_balanced_thermo,Thermo,BLC 21,Random same-group primary,0.6802045007862184
lot_balanced_thermo,Thermo,BLC 21,Random same-group primary,0.6731231041474883
lot_balanced_thermo,Thermo,BLC 21,Random same-group primary,0.676631241201432
lot_balanced_thermo,Thermo,BLC 21,Random same-group primary,0.7223589392186905
lot_balanced_thermo,Thermo,BLC 21,Random other-group primary,0.3425763535466602
lot_balanced_thermo,Thermo,BLC 21,Random other-group primary,0.31554789689704527
lot_balanced_thermo,Thermo,BLC 21,Random other-group primary,0.5151371843749611
lot_balanced_thermo,Thermo,BLC 21,Random other-group primary,0.689087339090515
lot_balanced_thermo,Thermo,BLC 21,Random other-group primary,0.4000502285713442
lot_balanced_thermo,Thermo,BLC 22,True same sample,0.6670186410319939
lot_balanced_thermo,Thermo,BLC 22,Best wrong primary,0.900074463161042
lot_balanced_thermo,Thermo,BLC 22,Random same-group primary,0.5221662245669478
lot_balanced_thermo,Thermo,BLC 22,Random same-group primary,0.6669370477820428
lot_balanced_thermo,Thermo,BLC 22,Random same-group primary,0.7853560524577499
lot_balanced_thermo,Thermo,BLC 22,Random same-group primary,0.6199455774711164
lot_balanced_thermo,Thermo,BLC 22,Random same-group primary,0.6058678925940858
lot_balanced_thermo,Thermo,BLC 22,Random other-group primary,0.34920877770543063
lot_balanced_thermo,Thermo,BLC 22,Random other-group primary,0.4664155598646419
lot_balanced_thermo,Thermo,BLC 22,Random other-group primary,0.34135887590793235
lot_balanced_thermo,Thermo,BLC 22,Random other-group primary,0.2011798919976528
lot_balanced_thermo,Thermo,BLC 22,Random other-group primary,0.19795790875537372
lot_balanced_thermo,Thermo,BLC 23,True same sample,0.6383791886638386
lot_balanced_thermo,Thermo,BLC 23,Best wrong primary,0.9297189478049278
lot_balanced_thermo,Thermo,BLC 23,Random same-group primary,0.8340178559223881
lot_balanced_thermo,Thermo,BLC 23,Random same-group primary,0.2951094548163762
lot_balanced_thermo,Thermo,BLC 23,Random same-group primary,0.8026239776067481
lot_balanced_thermo,Thermo,BLC 23,Random same-group primary,0.7425448270561972
lot_balanced_thermo,Thermo,BLC 23,Random same-group primary,0.6344753468845402
lot_balanced_thermo,Thermo,BLC 23,Random other-group primary,0.43001671861828616
lot_balanced_thermo,Thermo,BLC 23,Random other-group primary,0.36982639122904787
lot_balanced_thermo,Thermo,BLC 23,Random other-group primary,0.20350372161287023
lot_balanced_thermo,Thermo,BLC 23,Random other-group primary,0.17986936179275584
lot_balanced_thermo,Thermo,BLC 23,Random other-group primary,0.22267500040957366
lot_balanced_thermo,Thermo,BLC 24,True same sample,0.6368181044724291
lot_balanced_thermo,Thermo,BLC 24,Best wrong primary,0.8729332935185151
lot_balanced_thermo,Thermo,BLC 24,Random same-group primary,0.6577064181493556
lot_balanced_thermo,Thermo,BLC 24,Random same-group primary,0.8095017228625512
lot_balanced_thermo,Thermo,BLC 24,Random same-group primary,0.8195151267845733
lot_balanced_thermo,Thermo,BLC 24,Random same-group primary,0.7518687902404666
lot_balanced_thermo,Thermo,BLC 24,Random same-group primary,0.6534676912705513
lot_balanced_thermo,Thermo,BLC 24,Random other-group primary,0.08149649119908525
lot_balanced_thermo,Thermo,BLC 24,Random other-group primary,0.16714076871922146
lot_balanced_thermo,Thermo,BLC 24,Random other-group primary,0.10508130001464039
lot_balanced_thermo,Thermo,BLC 24,Random other-group primary,0.07009502453090741
lot_balanced_thermo,Thermo,BLC 24,Random other-group primary,0.35407230671076007
lot_balanced_thermo,Thermo,BLC 25,True same sample,0.5359919513616933
lot_balanced_thermo,Thermo,BLC 25,Best wrong primary,0.8738009664017263
lot_balanced_thermo,Thermo,BLC 25,Random same-group primary,0.47618991660475823
lot_balanced_thermo,Thermo,BLC 25,Random same-group primary,0.7927681786329811
lot_balanced_thermo,Thermo,BLC 25,Random same-group primary,0.586563883934076
lot_balanced_thermo,Thermo,BLC 25,Random same-group primary,0.7436381898406956
lot_balanced_thermo,Thermo,BLC 25,Random same-group primary,0.6834744631191974
lot_balanced_thermo,Thermo,BLC 25,Random other-group primary,0.3050499226249105
lot_balanced_thermo,Thermo,BLC 25,Random other-group primary,0.3704104943422965
lot_balanced_thermo,Thermo,BLC 25,Random other-group primary,0.1761427072905193
lot_balanced_thermo,Thermo,BLC 25,Random other-group primary,0.06829732095212038
